AccID	KO1	KO2	KO3	KO4	WT1	WT2	WT3	WT4
Adora2b	1146	757	958	1028	451	428	615	359
Adora2a	51	63	51	105	126	89	38	56
Gm4340	0	0	0	0	0	0	0	0
Rrp1	1906	1824	1935	1846	1651	1332	1357	1474
Gm20747	0	0	0	0	0	0	0	0
Fam50a	457	374	524	581	401	371	367	352
Gm5678	0	0	1	2	0	1	0	1
Fam50b	0	2	0	0	0	2	1	0
Vps35	2728	2458	3103	3164	3185	4102	2814	3013
Elk1	307	264	367	314	202	146	155	162
Vps36	829	966	946	792	822	864	926	1178
Cyb561d2	162	162	157	200	97	70	69	82
9530002B09Rik	0	0	0	0	0	0	0	0
Cyb561d1	230	285	207	174	247	356	221	216
Elk3	2346	2042	2504	2683	1791	1631	1437	1455
Rrp9	324	304	386	403	145	84	105	201
Rrp8	451	379	483	512	252	245	258	279
Vps39	935	810	846	914	889	843	1013	951
Vps29	1035	863	927	944	608	801	606	777
Elk4	445	419	444	503	665	693	643	420
Abcb6	233	254	233	247	148	347	190	201
Abcb7	489	422	523	553	667	1151	782	801
Abcb4	5	5	19	9	2	7	11	8
Abcb5	0	3	0	0	0	0	0	0
Gm3005	1	0	0	0	0	0	0	0
Osbpl11	1082	971	1102	978	631	730	589	753
Abcb8	276	268	227	213	415	431	351	497
Gm3002	1	0	0	1	0	0	0	0
Osbpl10	222	229	159	212	314	254	297	376
Tcp11l1	111	77	107	92	108	89	90	50
Abcb9	142	119	92	82	96	100	72	137
Hhla1	2	2	0	0	0	0	0	0
Tcp11l2	705	752	572	470	605	734	743	741
Tent4a	826	920	967	991	528	630	498	595
Pcnx3	2556	2613	1948	1738	1606	1372	1269	1190
Pcnx4	312	371	420	540	197	292	171	293
Gm4353	62	79	97	192	72	54	59	69
Pcnx2	10	1	27	22	11	14	2	0
Gm20737	0	0	0	0	0	0	0	0
Thegl	9	2	4	0	0	0	3	2
Gm20736	0	0	0	0	0	0	0	0
Gm5689	0	0	0	0	1	0	0	0
Gm20738	0	0	0	0	0	0	0	0
Hus1	354	302	434	430	230	363	226	190
Vps25	748	812	747	757	712	605	612	942
Vps28	903	885	879	765	772	584	751	1057
Abcc3	951	840	683	698	1610	1709	1178	1867
Chid1	456	367	427	453	273	271	278	388
Gm32742	8	7	4	0	5	25	15	10
Vps18	1219	1205	1140	1351	679	662	444	625
Abcc4	381	376	568	618	1494	1040	453	958
Abcc1	1389	1322	1936	1487	773	883	569	694
Abcc2	0	5	0	1	0	4	2	0
Abcc8	12	12	0	6	50	13	50	16
